iter	Passed	Remaining
0	48	48421
1	50	25391
2	89	29849
3	92	22974
4	93	18654
5	95	157566	148	21097	120	14981
8	8	164	18159	201	19925
10	203	18283
11	205	16881
1212	246	186713	247	17437
1414	274	18015
15	276	169916	281	16262
1717	329	17951818	336	17381919	338	16572020	431	20132
21	493	21953
22	525	22333
23	537	21850
24	538	21013
25	561	21049
26	576	20791
27	685	23795
28	696	23334
29	745	24111
30	747	23358
31	748	22656
32	751	22029
33	767	21794
34	769	21225
35	787	21081
36	791	20610
37	795	20140
38	865	21319
39	871	20912
40	872	20410
41	928	21176
42	942	20974
43	943	20507
44	945	200645	992	20589
46	994	20159
47	1077	21360
48	1091	21184
49	1109	21088
50	1111	2068151	1190	21702
52	1191	21297
53	1193	20907
54	1194	20529
55	1221	20591
56	1227	20313
57	1236	20086
58	1247	19897
59	1260	19746
60	1267	19515
61	1269	19204
62	1321	19648
63	1331	19471
64	1371	19725
65	1373	19437
66	1375	19161
67	1417	19423
68	1422	19193
69	1424	18926
70	1453	19014
71	1455	18757
72	1458	18519
73	1461	18294
74	1503	18542
75	1505	18303
76	1507	18075
77	1549	18317
78	1552	18094
79	1553	17867
80	1555	17643
81	1556	17425
82	1557	17212
83	1574	17165
884	1561	16804885	1562	1660986	1579	16576
887	1664	17248
88	1665	17052
89	1758	17780
90	1760	17582
91	1761	17386
92	1762	17193
93	1816	17505
94	1817	17318
95	1819	17132
96	1823	16978
97	1827	16824
98	1829	16653
99	1831	16482
100	1832	16314
101	1834	16149
102	1835	15987
103	1860	16028
104	1883	16056
105	1891	15956
106	1893	15801
107	1894	15648
108	1896	15499
109	1945	15740
110	1947	15598
111	1948	15452
112	1950	15307
113	1978	15376
114	1980	15240
115	1981	15103
116	1985	14982
117	1990	14880
118	1993	14761
119	1999	14664
120	2003	14557121	2057	14810
122	2062	14705
123	2067	14605
124	2079	14554
125	2129	14769
126	2130	14646
127	2132	14525
128	2163	14609
129	2167	14503
130	2168	14385
131	2171	14276
132	2204	14372
133	2206	14261
134	2209	14156
135	2210	14045
136	2212	13937
137	2214	13830
138	2215	13723
139	2250	13821
140	2254	13733
141	2258	13645
1142	2278	136571143	2296	13649144	2349	13851
145	2380	13922
146	2382	13824
147	2385	13731
148	2406	13744
149	2408	13648
1150	2459	13831
151	2462	13736
152	2507	13882
153	2509	13787154	2526	13771
155	2564	13875
156	2576	13834
157	2578	13739
158	2663	14087
159	2737	14370
160	2738	14271
161	2841	14699
162	2846	14617
163	2851	14534
164	2884	14596
165	2931	14728
166	2963	14779
167	2964	14682
168	2966	14587
169	2969	14499
170	2976	14429
171	3002	14455
172	3007	14376
173	3010	14289
174	3011	14198
175	3013	14107
176	3014	14016
177	3029	13991
178	3070	14085
179	3074	14008
180	3076	13922
181	3095	13911
182	3096	13825
183	3098	13739
184	3099	13655
185	3101	13571
186	3102	13488
187	3103	13406
188	3146	13501
189	3211	13691
190	3221	13646
191	3226	13580
192	3230	13507
193	3256	13529
194	3258	13452
195	3289	13494
196	3291	13418
197	3293	13341
198	3295	13265
199	3341	13364
200	3343	13289
201	3344	13212
202	3371	13235
203	3372	13161
204	3374	13085
205	3409	13142
206	3411	13070
207	3415	13004
208	3418	12937
209	3453	12990
210	3455	12919
211	3456	12848
212	3461	12788
213	3465	12727
214	3468	12662
215	3470	12597
216	3474	12537
217	3500	12555
218	3501	12488
219	3504	12425
220	3510	12372
221	3516	12323
222	3522	12273
223	3525	12214
224	3530	12159
225	3553	12169
226	3555	12108
227	3557	12045
228	3558	11981
229	3583	11997
230	3585	11936
231	3587	11874
232	3606	11870
233	3607	11809
234	3609	11748
235	3610	11687
236	3612	11631
237	3619	11588
238	3636	11580
239	3645	11544
240	3686	11609
241	3688	11554
242	3707	11548
243	3708	11490
244	3710	11435
245	3746	11484
246	3748	11426
247	3749	11369
248	3791	11436
249	3802	11408
250	3813	11378
251	3814	11323
252	3816	11267
253	3817	11211
254	3818	11156
255	3820	11102
256	3904	11288
257	3909	11244
258	3912	11193
259	3914	11141
260	3915	11087
261	3935	11085
262	3937	11032
263	3939	10982
264	3953	10966
265	3956	10916
266	3958	10866
267	3959	10815
268	3978	10811
269	3980	10761
270	3982	10711
271	3983	10661
272	3985	10612
273	3988	10567
274	3990	10521
275	4009	10518
276	4011	10471
277	4013	10423
278	4018	10386
279	4023	10345
280	4026	10301
281	4029	1282	4282	4030	10212
283	4037	10178
284	4051	10163
285	4058	10131
286	4059	10085
287	4061	10040
288	4062	289	4289	4064	290	4070	9917
291	4094	9928
292	4098	9889
293	4100	9847
294	4294	4146	9909
295	4148	9866
296	4150	9823
297	4172	9828
298	4173	9785
299	4175	9742
300	4192	9736
301	4195	9696
302	4197	9656
303	4199	9614
304	4225	9628
305	4227	9586
306	4228	9545
307	4230	9505
308	4241	9485
309	4257	9476
310	4264	9448
311	4269	9414
312	4287	9410
313	4303	9401
314	4340	9439
315	4342	9400
316	4344	9360
317	4348	9325
318	4353	9293
319	4357	9259
320	4362	9227
321	4375	9213
322	4376	9173
323	4378	9136
324	4412	9163
325	4413	9124
326	4414	9086
327	4495	9210
328	4497	9172
329	4500	9136
330	4501	9098
331	4527	9110
332	4529	9072
333	4530	9033
334	4531	8996
335	4533	8958
336	4535	337	4559	8931
338	4338	4557	339	4339	4650	9028
340	4661	9009
341	4663	8972
342	4664	8935
343	4666	8898
344	4765	9047
345	4768	9013
346	4769	8976
347	4771	8939
348	4775	8908
349	4797	8910
350	4799	8874
351	4801	8838
352	4802	8802
353	4840	8834
354	4845	8803
355	4846	8767
356	4848	8732
357	4888	8766
358	4890	8731
359	4891	8695
360	4892	8660
361	4919	8670
362	4922	8637
363	4925	8605
364	4928	8573
365	4954	8581
366	4956	8548
367	4957	8514
368	4977	8511
369	4978	8476
370	4980	8444
371	5002	8444
372	5017	8433
373	5018	8399
374	5019	8366
375	5040	8365
376	5042	8333
377	5044	8300
378	5060	379	5162	8423
380	5164	8390
381	5174	8371
382	5175	8338
383	5177	8305
384	5178	8272
385	5196	8266
386	5197	8233
387	5199	8200
388	5200	8168
389	5201	8136
390	5203	8104
391	5217	8092
392	5392	5242	8096
393	5243	8065
394	5245	8033
395	5245	8001
396	5259	397	5310	8032
398	5318	8010
399	5320	7980
400	5400	5360	401	5364	7980
402	5366	7949
403	5368	7920
404	5373	7894
405	5398	7898
